company,fund,series_id,cik,accession,filing_date,report_date,n_sec,tot_balance,tot_val_usd,pps
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001116626-23-000023,2023-05-26,2023-03-31,1,55593.0000,38395305.45,690.6500
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001116626-23-000010,2023-02-24,2022-12-31,1,58355.0000,40138319.65,687.8300
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-22-266828,2022-11-25,2022-09-30,1,58355.0000,48433482.90,829.9800
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-22-189681,2022-08-24,2022-06-30,1,58355.0000,54270150.00,930.0000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-22-126497,2022-05-27,2022-03-31,1,58355.0000,50284503.50,861.7000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-22-043905,2022-02-24,2021-12-31,1,58355.0000,56114751.55,961.6100
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-21-258557,2021-11-24,2021-09-30,1,58355.0000,56114751.55,961.6100
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-21-184943,2021-08-25,2021-06-30,1,58355.0000,51644175.00,885.0000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-21-110654,2021-05-26,2021-03-31,1,58355.0000,51644175.00,885.0000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-21-038172,2021-02-24,2020-12-31,1,45385.0000,26096375.00,575.0000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-20-248169,2020-11-25,2020-09-30,1,45385.0000,26096375.00,575.0000
Epic Games,T. Rowe Price Global Technology Fund,S000002085,1116626,0001752724-20-167336,2020-08-24,2020-06-30,1,45385.0000,26096375.00,575.0000
